总价,单价,地区,名称,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,房管局核验码
155.0,11872,青山 青山 三至四环,绿地香树花城,3室1厅1厨2卫,中楼层 (共44层),130.56㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,暂无数据,2024-01-04,商品房,2023-05-30,普通住宅,未满两年,共有,"
                                有抵押 90万元
                              ",已上传房本照片,20230611C7gDL
80.0,8340,青山 洪山其它 三至四环,海伦国际,3室2厅1厨1卫,中楼层 (共47层),95.93㎡,平层,73.32㎡,板塔结合,东 南,钢混结构,精装,两梯五户,有,暂无数据,2023-04-27,商品房,2022-04-06,普通住宅,未满两年,共有,"
                                有抵押 54万元 客户偿还
                              ",已上传房本照片,20220408DLqp7
72.0,10590,青山 青山 三至四环,冶金106街坊,2室1厅1厨1卫,低楼层 (共7层),67.99㎡,平层,暂无数据,塔楼,南 北,钢混结构,其他,暂无数据,无,暂无数据,2023-12-19,商品房,2022-08-12,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,20231228j0qcx
106.0,10859,青山 青山 三至四环,绿地香树花城派克公馆,3室2厅1厨1卫,高楼层 (共54层),97.62㎡,平层,暂无数据,暂无数据,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-08-18,商品房,2023-08-18,普通住宅,未满两年,非共有,"
                                有抵押 69万元 中国银行
                              ",已上传房本照片,20230818GoJev
45.0,7831,青山 青山 三至四环,石化二生活区,2室1厅1厨1卫,中楼层 (共8层),57.47㎡,平层,暂无数据,板楼,南,混合结构,简装,暂无数据,无,暂无数据,2021-07-16,商品房,2017-07-21,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,2021071744p4Y
123.0,13941,青山 青山 ,东兴天地D区,2室1厅1厨1卫,中楼层 (共33层),88.23㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯五户,有,暂无数据,2023-09-28,拆迁还建房,2022-02-07,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,20230930Xt7Zg
55.0,7789,青山 青山 二至三环,青康居,2室2厅1厨1卫,高楼层 (共17层),70.62㎡,平层,暂无数据,塔楼,南,钢混结构,其他,两梯四户,有,暂无数据,2023-05-15,拆迁还建房,2023-05-25,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,20230518HHaVY
80.0,8419,青山 青山 三至四环,绿地香树花城,2室2厅1厨1卫,低楼层 (共33层),95.03㎡,平层,73.39㎡,板楼,南,钢混结构,其他,两梯四户,有,暂无数据,2023-10-27,商品房,2023-10-27,普通住宅,未满两年,共有,"
                                无抵押
                              ",已上传房本照片,20231027cvSkq
48.0,7751,青山 青山 一至二环,临江港湾,2室1厅1厨1卫,低楼层 (共19层),61.93㎡,平层,48.68㎡,板楼,南,钢混结构,简装,两梯六户,有,暂无数据,2023-08-28,拆迁还建房,2023-08-28,普通住宅,未满两年,共有,"
                                无抵押
                              ",已上传房本照片,20211028wLib8
149.0,17991,青山 青山 二至三环,大华铂金华府,2室2厅1厨1卫,低楼层 (共32层),82.82㎡,平层,63.62㎡,塔楼,南,钢混结构,精装,两梯六户,有,暂无数据,2023-11-16,商品房,2015-11-18,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,202111308ZELr
108.0,7833,青山 青山 三至四环,新长江香樟林,3室2厅1厨2卫,低楼层 (共23层),137.89㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,有,暂无数据,2023-09-07,商品房,2022-11-21,普通住宅,未满两年,共有,"
                                无抵押
                              ",已上传房本照片,20230908MEZwu
